11188
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Douzième extrait>,<>,<>
fleuves,fleuve,21
pareils,pareil,30
",",",",p
dont,dont,52
les,le,71
teintes,teinte,22
indiquaient,indiquer,18
les,le,71
différences,différence,22
chimiques,chimique,30
",",",",p
sillonnaient,sillonner,18
le,le,71
sein,sein,21
de,de,81
la,le,71
terre,terre,22
comme,comme,83
les,le,71
vaisseaux,vaisseau,21
et,et,82
les,le,71
veines,veine,22
qui,qui,52
serpentent,serpenter,17
parmi,parmi,81
les,le,71
lobes,lobe,21
de,de,81
notre,notre,73
cerveau,cerveau,21
/.,/.,P
tous,tout,52
coulaient,couler,18
",",",",p
circulaient,circuler,18
",",",",p
et,et,82
vibraient,vibrer,18
ainsi,ainsi,60
",",",",p
et,et,82
j',je,51
eus,avoir,19
le,le,71
sentiment,sentiment,21
que,que,83
ces,ce,74
courants,courant,21
étaient,être,18
composés,composer,12
d',de,81
âmes,âme,22
vivantes,vivant,30
",",",",p
à,à,81
l',le,71
état,état,21
moléculaire,moléculaire,30
",",",",p
que,que,52
la,le,71
rapidité,rapidité,22
de,de,81
ce,ce,74
voyage,voyage,21
m',je,51
empêchait,empêcher,18
seule,seul,30
de,de,81
distinguer,distinguer,14
/.,/.,P
une,un,71
clarté,clarté,22
blanchâtre,blanchâtre,30
s',se,51
infiltrait,infiltrer,18
peu,peu,60
à,à,81
peu,peu,60
dans,dans,81
ces,ce,74
conduits,conduit,21
",",",",p
et,et,82
je,je,51
vis,voir,19
enfin,enfin,60
s',se,51
élargir,élargir,14
",",",",p
ainsi,ainsi,60
qu',que,83
une,un,71
vaste,vaste,30
coupole,coupole,22
",",",",p
un,un,71
horizon,horizon,21
nouveau,nouveau,30
où,où,60
se,se,51
traçaient,tracer,18
des,de,81
des,le,71
îles,île,22
entourées,entouré,31
de,de,81
flots,flot,21
lumineux,lumineux,30
/.,/.,P
je,je,51
me,je,51
trouvai,trouver,19
sur,sur,81
une,un,71
côte,côte,22
éclairée,éclairé,31
de,de,81
ce,ce,74
jour,jour,21
sans,sans,81
soleil,soleil,21
",",",",p
et,et,82
je,je,51
vis,voir,19
un,un,71
vieillard,vieillard,21
qui,qui,52
cultivait,cultiver,18
sa,son,73
terre,terre,22
/.,/.,P
je,je,51
le,le,52
reconnus,reconnaître,19
pour,pour,81
le,le,71
même,même,52
qui,qui,52
m',je,51
avait,avoir,18
parlé,parler,12
par,par,81
la,le,71
voix,voix,22
de,de,81
l',le,71
oiseau,oiseau,21
",",",",p
et,et,82
",",",",p
soit,soit,82
qu',que,83
il,il,51
me,je,51
parlât,parler,18
",",",",p
soit,soit,82
que,que,83
je,je,51
le,le,52
comprisse,comprendre,18
en,en,81
moi-même,moi-même,51
",",",",p
il,il,51
devenait,devenir,18
clair,clair,30
pour,pour,81
moi,moi,51
que,que,83
les,le,71
aïeux,aïeul,21
prenaient,prendre,18
la,le,71
forme,forme,22
de,de,81
certains,certain,75
animaux,animal,21
pour,pour,81
nous,nous,51
visiter,visiter,14
sur,sur,81
la,le,71
terre,terre,22
",",",",p
et,et,82
qu',que,83
ils,ils,51
assistaient,assister,18
ainsi,ainsi,60
",",",",p
muets,muet,30
observateurs,observateur,21
",",",",p
aux,à,81
aux,le,71
phases,phase,22
de,de,81
notre,notre,73
existence,existence,22
/.,/.,P
le,le,71
vieillard,vieillard,21
quitta,quitter,19
son,son,73
travail,travail,21
et,et,82
m',je,51
accompagna,accompagner,19
jusqu',jusque,81
à,à,81
une,un,71
maison,maison,22
qui,qui,52
s',se,51
élevait,élever,18
près,près,81
de,de,81
là,là,60
/.,/.,P
le,le,71
paysage,paysage,21
qui,qui,52
nous,nous,51
entourait,entourer,18
me,je,51
rappelait,rappeler,18
celui,celui,52
d',de,81
un,un,71
pays,pays,21
de,de,81
la,le,71
Flandre,Flandre,20
française,français,30
où,où,60
mes,mon,73
parents,parent,21
avaient,avoir,18
vécu,vivre,12
et,et,82
où,où,60
se,se,51
trouvaient,trouver,18
leurs,leur,73
tombes,tombe,22
:,:,p
le,le,71
champ,champ,21
entouré,entouré,31
de,de,81
bosquets,bosquet,21
à,à,81
la,le,71
lisière,lisière,22
du,de,81
du,le,71
bois,bois,21
",",",",p
le,le,71
lac,lac,21
voisin,voisin,30
",",",",p
la,le,71
rivière,rivière,22
et,et,82
le,le,71
lavoir,lavoir,21
",",",",p
le,le,71
village,village,21
et,et,82
sa,son,73
rue,rue,22
qui,qui,52
monte,monter,17
",",",",p
les,le,71
collines,colline,22
de,de,81
grès,grès,21
sombre,sombre,30
et,et,82
leurs,leur,73
touffes,touffe,22
de,de,81
genêts,genêt,21
et,et,82
de,de,81
bruyères,bruyère,22
",",",",p
-,-,p
image,image,22
rajeunie,rajeuni,31
des,de,81
des,le,71
lieux,lieu,21
que,que,52
j',je,51
avais,avoir,18
aimés,aimer,12
/.,/.,P
seulement,seulement,60
",",",",p
la,le,71
maison,maison,22
où,où,60
j',je,51
entrai,entrer,19
ne,ne,60
m',je,51
était,être,18
point,point,60
connue,connaître,12
/.,/.,P
je,je,51
compris,comprendre,19
qu',que,83
elle,il,51
avait,avoir,18
existé,exister,12
dans,dans,81
je,je,51
ne,ne,60
sais,savoir,17
quel,quel,75
temps,temps,21
",",",",p
et,et,82
qu',que,83
en,en,81
ce,ce,74
monde,monde,21
que,que,52
je,je,51
visitais,visiter,18
alors,alors,60
",",",",p
le,le,71
fantôme,fantôme,21
des,de,81
des,le,71
choses,chose,22
accompagnait,accompagner,18
celui,celui,52
du,de,81
du,le,71
corps,corps,21
/.,/.,P
j',je,51
entrai,entrer,19
dans,dans,81
une,un,71
vaste,vaste,30
salle,salle,22
où,où,60
beaucoup,beaucoup,60
de,de,81
personnes,personne,22
étaient,être,18
réunis,réunir,12
/.,/.,P
partout,partout,60
je,je,51
retrouvais,retrouver,18
des,de,81
des,le,71
figures,figure,22
connues,connu,31
/.,/.,P
les,le,71
traits,trait,21
de,de,81
mes,mon,73
parents,parent,21
morts,mort,31
que,que,52
j',je,51
avais,avoir,18
pleurés,pleurer,12
se,se,51
trouvaient,trouver,18
reproduits,reproduit,31
dans,dans,81
d',de,81
autres,autre,52
qui,qui,52
",",",",p
vêtus,vêtir,12
de,de,81
costumes,costume,21
plus,plus,60
anciens,ancien,30
",",",",p
me,je,51
faisaient,faire,18
le,le,71
même,même,75
accueil,accueil,21
paternel,paternel,30
/.,/.,P
ils,ils,51
paraissaient,paraître,18
s',se,51
être,être,14
assemblés,assembler,12
pour,pour,81
un,un,71
banquet,banquet,21
de,de,81
famille,famille,22
/.,/.,P
un,un,52
de,de,81
ces,ce,74
parents,parent,21
vint,venir,19
à,à,81
moi,moi,51
et,et,82
m',je,51
embrassa,embrasser,19
tendrement,tendrement,60
/.,/.,P
il,il,51
portait,porter,18
un,un,71
costume,costume,21
ancien,ancien,30
dont,dont,52
les,le,71
couleurs,couleur,22
semblaient,sembler,18
pâlies,pâli,31
",",",",p
et,et,82
sa,son,73
figure,figure,22
souriante,souriant,30
",",",",p
sous,sous,81
ses,son,73
cheveux,cheveu,21
poudrés,poudré,31
",",",",p
avait,avoir,18
quelque,quelque,75
ressemblance,ressemblance,22
avec,avec,81
la,le,71
mienne,mien,52
/.,/.,P
il,il,51
me,je,51
semblait,sembler,18
plus,plus,60
précisément,précisément,60
vivant,vivant,30
que,que,83
les,le,71
autres,autre,52
",",",",p
et,et,82
pour,pour,81
ainsi,ainsi,60
dire,dire,14
en,en,81
rapport,rapport,21
plus,plus,60
volontaire,volontaire,30
avec,avec,81
mon,mon,73
esprit,esprit,21
/.,/.,P
-,-,p
c',ce,52
était,être,18
mon,mon,73
oncle,oncle,21
/.,/.,P
il,il,51
me,je,51
fit,faire,19
placer,placer,14
près,près,81
de,de,81
lui,lui,51
",",",",p
et,et,82
une,un,71
sorte,sorte,22
de,de,81
communication,communication,22
s',se,51
établit,établir,17
entre,entre,81
nous,nous,51
;,;,p
car,car,82
je,je,51
ne,ne,60
puis,pouvoir,17
dire,dire,14
que,que,83
j',je,51
entendisse,entendre,18
sa,son,73
voix,voix,22
;,;,p
seulement,seulement,60
",",",",p
à,à,81
mesure,mesure,22
que,que,83
ma,mon,73
pensée,pensée,22
se,se,51
portait,porter,18
sur,sur,81
un,un,71
point,point,21
",",",",p
l',le,71
explication,explication,22
m',je,51
en,en,52
devenait,devenir,18
claire,clair,30
aussitôt,aussitôt,60
",",",",p
et,et,82
les,le,71
images,image,22
se,se,51
précisaient,préciser,18
devant,devant,81
mes,mon,73
yeux,oeil,21
comme,comme,83
des,de,81
des,le,71
peintures,peinture,22
animées,animé,31
/.,/.,P
-,-,p
cela,cela,52
est,être,17
donc,donc,82
vrai,vrai,30
",",",",p
disais,dire,18
je,je,51
avec,avec,81
ravissement,ravissement,21
",",",",p
nous,nous,51
sommes,être,17
immortels,immortel,30
et,et,82
nous,nous,51
conservons,conserver,17
ici,ici,60
les,le,71
images,image,22
du,de,81
du,le,71
monde,monde,21
que,que,52
nous,nous,51
avons,avoir,17
habité,habiter,12
/.,/.,P
quel,quel,75
bonheur,bonheur,21
de,de,81
songer,songer,14
que,que,83
tout,tout,52
ce,ce,52
que,que,52
nous,nous,51
avons,avoir,17
aimé,aimer,12
existera,exister,15
toujours,toujours,60
autour,autour,60
de,de,81
nous,nous,51
/!,/!,P
j',je,51
étais,être,18
bien,bien,60
fatigué,fatiguer,12
de,de,81
la,le,71
vie,vie,22
/!,/!,P
ne,ne,60
te,tu,51
hâte,hâter,17
pas,pas,60
",",",",p
dit,dire,19
il,il,51
",",",",p
de,de,81
te,tu,51
réjouir,réjouir,14
",",",",p
car,car,82
tu,tu,51
appartiens,appartenir,17
encore,encore,60
au,à,81
au,le,71
monde,monde,21
d',de,81
en,en,81
haut,haut,21
et,et,82
tu,tu,51
as,avoir,17
à,à,81
supporter,supporter,14
de,de,81
rudes,rude,30
années,année,22
d',de,81
épreuves,épreuve,22
/.,/.,P
le,le,71
séjour,séjour,21
qui,qui,52
t',tu,51
enchante,enchanter,17
a,avoir,17
lui-même,lui-même,51
ses,son,73
douleurs,douleur,22
",",",",p
ses,son,73
luttes,lutte,22
et,et,82
ses,son,73
dangers,danger,21
/.,/.,P
la,le,71
terre,terre,22
où,où,60
nous,nous,51
avons,avoir,17
vécu,vivre,12
est,être,17
toujours,toujours,60
le,le,71
théâtre,théâtre,21
où,où,60
se,se,51
nouent,nouer,17
et,et,82
se,se,51
dénouent,dénouer,17
nos,notre,73
destinées,destinée,22
:,:,p
nous,nous,51
sommes,être,17
les,le,71
rayons,rayon,21
du,de,81
du,le,71
feu,feu,21
central,central,30
qui,qui,52
l',le,52
anime,animer,17
et,et,82
qui,qui,52
déjà,déjà,60
s',se,51
est,être,17
affaibli,affaiblir,12
/…,/…,P
eh,eh,93
quoi,quoi,52
!,!,p
dis,dire,19
je,je,51
",",",",p
la,le,71
terre,terre,22
pourrait,pouvoir,16
mourir,mourir,14
",",",",p
et,et,82
nous,nous,51
serions,être,16
envahis,envahir,12
par,par,81
le,le,71
néant,néant,21
/?,/?,P
le,le,71
néant,néant,21
",",",",p
dit,dire,19
il,il,51
",",",",p
n',ne,60
existe,exister,17
pas,pas,60
dans,dans,81
le,le,71
sens,sens,21
qu',que,52
on,on,51
l',le,52
entend,entendre,17
;,;,p
mais,mais,82
la,le,71
terre,terre,22
est,être,17
elle-même,lui-même,51
un,un,71
corps,corps,21
matériel,matériel,30
dont,dont,52
la,le,71
somme,somme,22
des,de,81
des,le,71
esprits,esprit,21
est,être,17
l',le,71
âme,âme,22
/.,/.,P
la,le,71
matière,matière,22
ne,ne,60
peut,pouvoir,17
pas,pas,60
plus,plus,60
périr,périr,14
que,que,83
l',le,71
esprit,esprit,21
",",",",p
mais,mais,82
elle,il,51
peut,pouvoir,17
se,se,51
modifier,modifier,14
selon,selon,81
le,le,71
bien,bien,21
et,et,82
le,le,71
mal,mal,21
/.,/.,P
notre,notre,73
passé,passé,21
et,et,82
notre,notre,73
avenir,avenir,21
sont,être,17
solidaires,solidaire,30
/.,/.,P
nous,nous,51
vivons,vivre,17
dans,dans,81
notre,notre,73
race,race,22
",",",",p
et,et,82
notre,notre,73
race,race,22
vit,vivre,17
en,en,81
nous,nous,51
/.,/.,P
cette,ce,74
idée,idée,22
me,je,51
devint,devenir,19
aussitôt,aussitôt,60
sensible,sensible,30
",",",",p
et,et,82
",",",",p
comme,comme,83
si,si,83
les,le,71
murs,mur,21
de,de,81
la,le,71
salle,salle,22
se,se,51
fussent,être,18
ouverts,ouvrir,12
sur,sur,81
des,de,81
des,le,71
perspectives,perspective,22
infinies,infini,30
",",",",p
il,il,51
me,je,51
semblait,sembler,18
voir,voir,14
une,un,71
chaîne,chaîne,22
non,non,60
interrompue,interrompu,31
d',de,81
hommes,homme,21
et,et,82
de,de,81
femmes,femme,22
en,en,81
qui,qui,52
j',je,51
étais,être,18
et,et,82
qui,qui,52
étaient,être,18
moi-même,moi-même,51
;,;,p
les,le,71
costumes,costume,21
de,de,81
tous,tout,75
les,le,71
peuples,peuple,21
",",",",p
les,le,71
images,image,22
de,de,81
tous,tout,75
les,le,71
pays,pays,21
apparaissaient,apparaître,18
distinctement,distinctement,60
à,à,81
la,le,71
fois,fois,22
",",",",p
comme,comme,83
si,si,83
mes,mon,73
facultés,faculté,22
d',de,81
attention,attention,22
s',se,51
étaient,être,18
multipliées,multiplier,12
sans,sans,81
se,se,51
confondre,confondre,14
",",",",p
par,par,81
un,un,71
phénomène,phénomène,21
d',de,81
espace,espace,21
analogue,analogue,30
à,à,81
celui,celui,52
du,de,81
du,le,71
temps,temps,21
qui,qui,52
concentre,concentrer,17
un,un,71
siècle,siècle,21
d',de,81
action,action,22
à,à,81
une,un,71
minute,minute,22
de,de,81
rêve,rêve,21
/.,/.,P
mon,mon,73
étonnement,étonnement,21
s',se,51
accrut,accroire,19
en,en,81
voyant,voir,13
que,que,83
cet,ce,74
immense,immense,30
énumération,énumération,22
se,se,51
composait,composer,18
seulement,seulement,60
des,de,81
des,le,71
personnes,personne,22
qui,qui,52
se,se,51
trouvaient,trouver,18
dans,dans,81
la,le,71
salle,salle,22
et,et,82
dont,dont,52
j',je,51
avais,avoir,18
vu,voir,12
les,le,71
images,image,22
se,se,51
diviser,diviser,14
et,et,82
se,se,51
combiner,combiner,14
en,en,81
mille,mille,72
aspects,aspect,21
fugitifs,fugitif,30
/.,/.,P
-,-,p
nous,nous,51
sommes,être,17
sept,sept,72
",",",",p
dis,dire,17
je,je,51
à,à,81
mon,mon,73
oncle,oncle,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
en,en,81
effet,effet,21
",",",",p
dit,dire,19
il,il,51
",",",",p
le,le,71
nombre,nombre,21
typique,typique,30
de,de,81
chaque,chaque,75
famille,famille,22
humaine,humain,30
",",",",p
et,et,82
",",",",p
par,par,81
extension,extension,22
",",",",p
sept,sept,72
fois,fois,22
sept,sept,72
",",",",p
et,et,82
davantage,davantage,60
/!,/!,P
<Note de bas de page de l'auteur>,<>,<>
sept,sept,72
était,être,18
le,le,71
nombre,nombre,21
de,de,81
la,le,71
famille,famille,22
de,de,81
Noé,Noé,20
;,;,p
mais,mais,82
l',le,71
un,un,52
des,de,81
des,le,71
sept,sept,72
se,se,51
rattachait,rattacher,18
mystérieusement,mystérieusement,60
aux,à,81
aux,le,71
générations,génération,22
antérieures,antérieur,30
des,de,81
des,le,71
Eloïm,Eloïm,20
!,!,p
l',le,71
imagination,imagination,22
comme,comme,83
un,un,71
éclair,éclair,21
",",",",p
me,je,51
représenta,représenter,19
les,le,71
dieux,dieu,21
multiples,multiple,30
de,de,81
l',le,71
Inde,Inde,20
comme,comme,83
des,de,81
des,le,71
images,image,22
de,de,81
la,le,71
famille,famille,22
pour,pour,81
ainsi,ainsi,60
dire,dire,14
primitivement,primitivement,60
concentrée,concentré,31
/.,/.,P
je,je,51
frémis,frémir,17
d',de,81
aller,aller,14
plus,plus,60
loin,loin,60
",",",",p
car,car,82
dans,dans,81
la,le,71
Trinité,Trinité,20
réside,résider,17
encore,encore,60
un,un,71
mystère,mystère,21
redoutable,redoutable,30
/…,/…,P
nous,nous,51
sommes,être,17
nés,naître,12
sous,sous,81
la,le,71
loi,loi,22
biblique,biblique,30
/…,/…,P
<fin note de bas de page>,<>,<>
je,je,51
ne,ne,60
puis,pouvoir,17
espérer,espérer,14
de,de,81
faire,faire,14
comprendre,comprendre,14
cette,ce,74
réponse,réponse,22
",",",",p
qui,qui,52
pour,pour,81
moi-même,moi-même,51
est,être,17
restée,rester,12
très,très,60
obscure,obscur,30
/.,/.,P
la,le,71
métaphysique,métaphysique,22
ne,ne,60
me,je,51
fournit,fournir,17
pas,pas,60
les,le,71
termes,terme,21
pour,pour,81
la,le,71
perception,perception,22
qui,qui,52
me,je,51
vint,venir,19
alors,alors,60
du,de,81
du,le,71
rapport,rapport,21
de,de,81
ce,ce,74
nombre,nombre,21
de,de,81
personnes,personne,22
avec,avec,81
l',le,71
harmonie,harmonie,22
générale,général,30
/.,/.,P
on,on,51
conçoit,concevoir,17
bien,bien,60
dans,dans,81
le,le,71
père,père,21
et,et,82
la,le,71
mère,mère,22
l',le,71
analogie,analogie,22
des,de,81
des,le,71
forces,force,22
électriques,électrique,30
de,de,81
la,le,71
nature,nature,22
;,;,p
mais,mais,82
comment,comment,60
établir,établir,14
les,le,71
centres,centre,21
individuels,individuel,30
émanés,émané,31
d',de,81
eux,ils,51
",",",",p
-,-,p
dont,dont,52
ils,ils,51
émanent,émaner,17
",",",",p
comme,comme,83
une,un,71
figure,figure,22
animique,animique,30
collective,collectif,30
",",",",p
dont,dont,52
la,le,71
combinaison,combinaison,22
serait,être,16
à,à,81
la,le,71
fois,fois,22
multiple,multiple,30
et,et,82
bornée,borné,31
/?,/?,P
autant,autant,60
vaudrait,valoir,16
demander,demander,14
compte,compte,21
à,à,81
la,le,71
fleur,fleur,22
du,de,81
du,le,71
nombre,nombre,21
de,de,81
ses,son,73
pétales,pétale,21
ou,ou,82
des,de,81
des,le,71
divisions,division,22
de,de,81
sa,son,73
corolle,corolle,22
…,…,p
au,à,81
au,le,71
sol,sol,21
des,de,81
des,le,71
figures,figure,22
qu',que,52
il,il,51
trace,tracer,17
",",",",p
au,à,81
au,le,71
soleil,soleil,21
des,de,81
des,le,71
couleurs,couleur,22
qu',que,52
il,il,51
produit,produire,17
/.,/.,P
<Page 21  Partie 1 Chapitre 5>,<>,<>
tout,tout,52
changeait,changer,18
de,de,81
forme,forme,22
autour,autour,60
de,de,81
moi,moi,51
/.,/.,P
l',le,71
esprit,esprit,21
avec,avec,81
qui,qui,52
je,je,51
m',je,51
entretenais,entretenir,18
n',ne,60
avais,avoir,18
plus,plus,60
le,le,71
même,même,75
aspect,aspect,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
jeune,jeune,30
homme,homme,21
qui,qui,52
désormais,désormais,60
recevait,recevoir,18
plutôt,plutôt,60
de,de,81
moi,moi,51
les,le,71
idées,idée,22
qu',que,52
il,il,51
me,je,51
communiquait,communiquer,18
/…,/…,P
étais,être,18
je,je,51
allé,aller,12
trop,trop,60
loin,loin,60
dans,dans,81
ces,ce,74
hauteurs,hauteur,22
qui,qui,52
donnent,donner,17
le,le,71
vertige,vertige,21
/?,/?,P
il,il,51
me,je,51
sembla,sembler,19
comprendre,comprendre,14
que,que,83
ces,ce,74
questions,question,22
étaient,être,18
obscures,obscur,30
ou,ou,82
dangereuses,dangereux,30
",",",",p
même,même,60
pour,pour,81
les,le,71
esprits,esprit,21
du,de,81
du,le,71
monde,monde,21
que,que,52
je,je,51
percevais,percevoir,18
alors,alors,60
/…,/…,P
peut-être,peut-être,60
aussi,aussi,60
un,un,71
pouvoir,pouvoir,21
supérieur,supérieur,30
m',je,51
interdisait,interdire,18
il,il,51
ces,ce,74
recherches,recherche,22
/.,/.,P
je,je,51
me,je,51
vis,voir,19
errant,errer,13
dans,dans,81
les,le,71
rues,rue,22
d',de,81
une,un,71
cité,cité,22
très,très,60
populeuse,populeux,30
et,et,82
inconnue,inconnu,30
/.,/.,P
je,je,51
remarquai,remarquer,19
qu',que,83
elle,il,51
était,être,18
bossuée,bossuer,12
de,de,81
collines,colline,22
et,et,82
dominée,dominer,12
par,par,81
un,un,71
mont,mont,21
couvert,couvert,31
d',de,81
habitations,habitation,22
/.,/.,P
à,à,81
travers,travers,21
le,le,71
peuple,peuple,21
de,de,81
cette,ce,74
capitale,capitale,22
",",",",p
je,je,51
distinguais,distinguer,18
certains,certain,75
hommes,homme,21
qui,qui,52
paraissaient,paraître,18
appartenir,appartenir,14
à,à,81
une,un,71
nation,nation,22
particulière,particulier,30
;,;,p
leur,leur,73
air,air,21
vif,vif,30
",",",",p
résolu,résolu,31
",",",",p
l',le,71
accent,accent,21
énergique,énergique,30
de,de,81
leurs,leur,73
traits,trait,21
me,je,51
faisaient,faire,18
songer,songer,14
aux,à,81
aux,le,71
races,race,22
indépendantes,indépendant,30
et,et,82
guerrières,guerrier,30
des,de,81
des,le,71
pays,pays,21
de,de,81
montagne,montagne,22
ou,ou,82
de,de,81
certaines,certain,75
îles,île,22
peu,peu,60
fréquentées,fréquenté,31
par,par,81
les,le,71
étrangers,étranger,21
;,;,p
toutefois,toutefois,60
c',ce,52
est,être,17
au,à,81
au,le,71
milieu,milieu,21
d',de,81
une,un,71
grande,grand,30
ville,ville,22
et,et,82
d',de,81
une,un,71
population,population,22
mélangée,mélangé,31
et,et,82
banale,banal,30
qu',que,83
ils,ils,51
savaient,savoir,18
maintenir,maintenir,14
ainsi,ainsi,60
leur,leur,73
individualité,individualité,22
farouche,farouche,30
/.,/.,P
qu',que,52
étaient,être,18
donc,donc,82
ces,ce,74
hommes,homme,21
/?,/?,P
mon,mon,73
guide,guide,21
me,je,51
fit,faire,19
gravir,gravir,14
des,de,81
des,le,71
rues,rue,22
escarpées,escarpé,30
et,et,82
bruyantes,bruyant,30
où,où,60
retentissaient,retentir,18
les,le,71
bruits,bruit,21
divers,divers,30
de,de,81
l',le,71
industrie,industrie,22
/.,/.,P
nous,nous,51
montâmes,monter,19
encore,encore,60
par,par,81
de,de,81
longues,long,30
séries,série,22
d',de,81
escaliers,escalier,21
",",",",p
au-delà,au-delà,60
desquels,de,81
desquels,lequel,52
la,le,71
vue,vue,22
se,se,51
découvrit,découvrir,19
/.,/.,P
çà,çà,60
et,et,82
là,là,60
",",",",p
des,de,81
des,le,71
terrasses,terrasse,22
revêtues,revêtu,31
de,de,81
treillages,treillage,21
",",",",p
des,de,81
des,le,71
jardinets,jardinet,21
ménagés,ménagé,31
sur,sur,81
quelques,quelque,75
espaces,espace,21
aplatis,aplati,31
",",",",p
des,de,81
des,le,71
toits,toit,21
",",",",p
des,de,81
des,le,71
pavillons,pavillon,21
légèrement,légèrement,60
construits,construit,31
",",",",p
peints,peint,31
et,et,82
sculptés,sculpté,31
avec,avec,81
une,un,71
capricieuse,capricieux,30
patience,patience,22
;,;,p
des,de,81
des,le,71
perspectives,perspective,22
reliées,relié,31
par,par,81
de,de,81
longues,long,30
traînées,traînée,22
de,de,81
verdures,verdure,22
grimpantes,grimpant,30
séduisaient,séduire,18
l',le,71
oeil,oeil,21
et,et,82
plaisaient,plaire,18
à,à,81
l',le,71
esprit,esprit,21
comme,comme,83
l',le,71
aspect,aspect,21
d',de,81
une,un,71
oasis,oasis,22
délicieuse,délicieux,30
",",",",p
d',de,81
une,un,71
solitude,solitude,22
ignorée,ignoré,31
au-dessus,au-dessus,60
du,de,81
du,le,71
tumulte,tumulte,21
et,et,82
de,de,81
ces,ce,74
bruits,bruit,21
d',de,81
en,en,81
bas,bas,21
",",",",p
qui,qui,52
",",",",p
là,là,60
",",",",p
n',ne,60
étaient,être,18
plus,plus,60
qu',que,83
un,un,71
murmure,murmure,21
/.,/.,P
on,on,51
a,avoir,17
souvent,souvent,60
parlé,parler,12
de,de,81
nations,nation,22
proscrites,proscrit,31
",",",",p
vivant,vivre,13
dans,dans,81
l',le,71
ombre,ombre,22
des,de,81
des,le,71
nécropoles,nécropole,22
et,et,82
des,de,81
des,le,71
catacombes,catacombe,22
;,;,p
c',ce,52
était,être,18
ici,ici,60
le,le,71
contraire,contraire,21
sans,sans,81
doute,doute,21
/.,/.,P
une,un,71
race,race,22
heureuse,heureux,30
s',se,51
était,être,18
créé,créer,12
cette,ce,74
retraite,retraite,22
aimé,aimé,31
des,de,81
des,le,71
oiseaux,oiseau,21
",",",",p
des,de,81
des,le,71
fleurs,fleur,22
",",",",p
de,de,81
l',le,71
air,air,21
pur,pur,30
et,et,82
de,de,81
la,le,71
clarté,clarté,22
/.,/.,P
“,“,p
ce,ce,52
sont,être,17
",",",",p
me,je,51
dit,dire,19
mon,mon,73
guide,guide,21
",",",",p
les,le,71
anciens,ancien,30
habitants,habitant,21
de,de,81
cette,ce,74
montagne,montagne,22
qui,qui,52
domine,dominer,17
la,le,71
ville,ville,22
où,où,60
nous,nous,51
sommes,être,17
en,en,81
ce,ce,74
moment,moment,21
/.,/.,P
longtemps,longtemps,60
ils,ils,51
y,y,52
ont,avoir,17
vécu,vivre,12
simples,simple,30
de,de,81
moeurs,moeurs,22
",",",",p
aimants,aimant,30
et,et,82
justes,juste,30
",",",",p
conservant,conserver,13
les,le,71
vertus,vertu,22
naturelles,naturel,30
des,de,81
des,le,71
premiers,premier,72
jours,jour,21
du,de,81
du,le,71
monde,monde,21
/.,/.,P
le,le,71
peuple,peuple,21
environnant,environnant,30
les,le,52
honorait,honorer,18
et,et,82
se,se,51
modelait,modeler,18
sur,sur,81
eux,ils,51
/.,/.,P
“,“,p
du,de,81
du,le,71
point,point,21
où,où,60
j',je,51
étais,être,18
alors,alors,60
",",",",p
je,je,51
descendis,descendre,19
",",",",p
suivant,suivre,13
mon,mon,73
guide,guide,21
",",",",p
dans,dans,81
une,un,52
de,de,81
ces,ce,74
hautes,haut,30
habitations,habitation,22
dont,dont,52
les,le,71
toits,toit,21
réunis,réuni,31
présentaient,présenter,18
un,un,71
aspect,aspect,21
étrange,étrange,30
/.,/.,P
il,il,51
me,je,51
semblaient,sembler,18
que,que,83
mes,mon,73
pieds,pied,21
s',se,51
enfonçaient,enfoncer,18
dans,dans,81
les,le,71
couches,couche,22
successives,successif,30
des,de,81
des,le,71
différents,différent,30
âges,âge,21
/.,/.,P
ces,ce,74
fantômes,fantôme,21
de,de,81
constructions,construction,22
en,en,52
découvraient,découvrir,18
toujours,toujours,60
d',de,81
autres,autre,52
où,où,60
se,se,51
distinguait,distinguer,18
le,le,71
goût,goût,21
particulier,particulier,30
de,de,81
chaque,chaque,75
siècle,siècle,21
",",",",p
et,et,82
cela,cela,52
me,je,51
représentait,représenter,18
l',le,71
aspect,aspect,21
des,de,81
des,le,71
fouilles,fouille,22
",",",",p
que,que,52
l',l',94
on,on,51
fait,faire,17
dans,dans,81
les,le,71
cités,cité,22
antiques,antique,30
",",",",p
si,si,83
ce,ce,52
n',ne,60
est,être,17
que,que,83
c',ce,52
était,être,18
aéré,aérer,12
",",",",p
vivant,vivant,30
",",",",p
traversé,traverser,12
de,de,81
mille,mille,72
jeux,jeu,21
de,de,81
lumière,lumière,22
/.,/.,P
je,je,51
me,je,51
trouvai,trouver,19
enfin,enfin,60
dans,dans,81
une,un,71
vaste,vaste,30
chambre,chambre,22
où,où,60
je,je,51
vis,voir,19
un,un,71
vieillard,vieillard,21
travaillant,travailler,13
devant,devant,81
une,un,71
table,table,22
à,à,81
je,je,51
ne,ne,60
sais,savoir,17
quel,quel,75
ouvrage,ouvrage,21
d',de,81
industrie,industrie,22
/.,/.,P
-,-,p
au,à,81
au,le,71
moment,moment,21
où,où,60
je,je,51
franchissais,franchir,18
la,le,71
