11635
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Huitième extrait>,<>,<>
",",",",p
des,de,81
des,le,71
joies,joie,22
plus,plus,60
laminées,laminé,31
et,et,82
plus,plus,60
aiguës,aigu,30
et,et,82
",",",",p
par,par,81
conséquent,conséquent,30
",",",",p
plus,plus,60
désirables,désirable,30
et,et,82
plus,plus,60
chères,cher,30
/.,/.,P
et,et,82
le,le,71
fait,fait,21
est,être,17
",",",",p
continua,continuer,19
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
poursuivant,poursuivre,13
son,son,73
raisonnement,raisonnement,21
",",",",p
le,le,71
fait,fait,21
est,être,17
que,que,83
",",",",p
comme,comme,83
la,le,71
douleur,douleur,22
est,être,17
un,un,71
effet,effet,21
de,de,81
l',le,71
éducation,éducation,22
",",",",p
comme,comme,83
elle,il,51
s',se,51
élargit,élargir,17
et,et,82
s',se,51
acière,aciérer,17
à,à,81
mesure,mesure,22
que,que,83
les,le,71
idées,idée,22
naissent,naître,17
:,:,p
plus,plus,60
on,on,51
s',se,51
efforcera,efforcer,15
d',de,81
équarrir,équarrir,14
l',le,71
intelligence,intelligence,22
et,et,82
d',de,81
affiner,affiner,14
le,le,71
système,système,21
nerveux,nerveux,30
des,de,81
des,le,71
pauvres,pauvre,30
diables,diable,21
",",",",p
et,et,82
plus,plus,60
on,on,51
développera,développer,15
en,en,81
eux,ils,51
les,le,71
germes,germe,21
si,si,60
furieusement,furieusement,60
vivaces,vivace,30
de,de,81
la,le,71
souffrance,souffrance,22
morale,moral,30
et,et,82
de,de,81
la,le,71
haine,haine,22
/.,/.,P
les,le,71
lampes,lampe,22
charbonnaient,charbonner,18
/.,/.,P
il,il,51
les,le,52
remonta,remonter,19
et,et,82
consulta,consulter,19
sa,son,73
montre,montre,22
/.,/.,P
-,-,p
trois,trois,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
/.,/.,P
il,il,51
alluma,allumer,19
une,un,71
cigarette,cigarette,22
et,et,82
se,se,51
replongea,replonger,19
dans,dans,81
la,le,71
lecture,lecture,22
interrompue,interrompu,31
par,par,81
ses,son,73
rêveries,rêverie,22
",",",",p
du,de,81
du,le,71
vieux,vieux,30
poème,poème,21
latin,latin,30
de,de,81
laude,laude,92
castitatis,castitatis,92
",",",",p
écrit,écrit,31
sous,sous,81
le,le,71
règne,règne,21
de,de,81
Gondebald,Gondebald,20
",",",",p
par,par,81
Avitus,Avitus,20
",",",",p
évêque,évêque,21
métropolitain,métropolitain,30
de,de,81
Vienne,Vienne,20
/.,/.,P
depuis,depuis,81
cette,ce,74
nuit,nuit,22
où,où,60
",",",",p
sans,sans,81
cause,cause,22
apparente,apparent,30
",",",",p
il,il,51
avait,avoir,18
évoqué,évoquer,12
le,le,71
mélancolique,mélancolique,30
souvenir,souvenir,14
d',de,81
Auguste,Auguste,20
Langlois,Langlois,20
",",",",p
il,il,51
revécut,revivre,19
toute,tout,75
son,son,73
existence,existence,22
/.,/.,P
il,il,51
était,être,18
maintenant,maintenant,60
incapable,incapable,30
de,de,81
comprendre,comprendre,14
un,un,71
mot,mot,21
aux,à,81
aux,le,71
volumes,volume,21
qu',que,52
il,il,51
consultait,consulter,18
;,;,p
ses,son,73
yeux,oeil,21
mêmes,même,30
ne,ne,60
lisaient,lire,18
plus,plus,60
;,;,p
il,il,51
lui,lui,51
sembla,sembler,19
que,que,83
son,son,73
esprit,esprit,21
saturé,saturé,31
de,de,81
littérature,littérature,22
et,et,82
d',de,81
art,art,21
se,se,51
refusait,refuser,18
à,à,81
en,en,52
absorber,absorber,14
davantage,davantage,60
/.,/.,P
il,il,51
vivait,vivre,18
sur,sur,81
lui-même,lui-même,51
",",",",p
se,se,51
nourrissait,nourrir,18
de,de,81
sa,son,73
propre,propre,30
substance,substance,22
",",",",p
pareil,pareil,30
à,à,81
ces,ce,74
bêtes,bête,22
engourdies,engourdi,31
",",",",p
tapies,tapi,31
dans,dans,81
un,un,71
trou,trou,21
",",",",p
pendant,pendant,81
l',le,71
hiver,hiver,21
;,;,p
la,le,71
solitude,solitude,22
avait,avoir,18
agi,agir,12
sur,sur,81
son,son,73
cerveau,cerveau,21
",",",",p
de,de,81
même,même,60
qu',que,83
un,un,71
narcotique,narcotique,21
/.,/.,P
après,après,81
l',le,52
avoir,avoir,14
tout,tout,60
d'abord,d'abord,60
énervé,énerver,12
et,et,82
tendu,tendre,12
",",",",p
elle,il,51
amenait,amener,18
une,un,71
torpeur,torpeur,22
hantée,hanté,31
de,de,81
songeries,songerie,22
vagues,vague,30
;,;,p
elle,il,51
annihilait,annihiler,18
ses,son,73
desseins,dessein,21
",",",",p
brisait,briser,18
ses,son,73
volontés,volonté,22
",",",",p
guidait,guider,18
un,un,71
défilé,défilé,21
de,de,81
rêves,rêve,21
qu',que,52
il,il,51
subissait,subir,18
",",",",p
passivement,passivement,60
",",",",p
sans,sans,81
même,même,60
essayer,essayer,14
de,de,81
s',se,51
y,y,52
soustraire,soustraire,14
/.,/.,P
le,le,71
tas,tas,21
confus,confus,30
des,de,81
des,le,71
lectures,lecture,22
",",",",p
des,de,81
des,le,71
méditations,méditation,22
artistiques,artistique,30
",",",",p
qu',que,52
il,il,51
avait,avoir,18
accumulées,accumuler,12
depuis,depuis,81
son,son,73
isolement,isolement,21
",",",",p
ainsi,ainsi,60
qu',que,83
un,un,71
barrage,barrage,21
pour,pour,81
arrêter,arrêter,14
le,le,71
courant,courant,21
des,de,81
des,le,71
anciens,ancien,30
souvenirs,souvenir,21
",",",",p
avait,avoir,18
été,être,12
brusquement,brusquement,60
emporté,emporter,12
",",",",p
et,et,82
le,le,71
flot,flot,21
s',se,51
ébranlait,ébranler,18
",",",",p
culbutant,culbuter,13
le,le,71
présent,présent,21
",",",",p
l',le,71
avenir,avenir,21
",",",",p
noyant,noyer,13
tout,tout,52
sous,sous,81
la,le,71
nappe,nappe,22
du,de,81
du,le,71
passé,passé,21
",",",",p
emplissant,emplir,13
son,son,73
esprit,esprit,21
d',de,81
une,un,71
immense,immense,30
étendue,étendue,22
de,de,81
tristesse,tristesse,22
sur,sur,81
laquelle,lequel,52
nageaient,nager,18
",",",",p
semblables,semblable,30
à,à,81
de,de,81
ridicules,ridicule,30
épaves,épave,22
",",",",p
des,de,81
des,le,71
épisodes,épisode,21
sans,sans,81
intérêt,intérêt,21
de,de,81
son,son,73
existence,existence,22
",",",",p
des,de,81
des,le,71
riens,rien,21
absurdes,absurde,30
/.,/.,P
le,le,71
livre,livre,21
qu',que,52
il,il,51
tenait,tenir,18
à,à,81
la,le,71
main,main,22
tombait,tomber,18
sur,sur,81
ses,son,73
genoux,genou,21
;,;,p
il,il,51
s',se,51
abandonnait,abandonner,18
",",",",p
regardant,regarder,13
",",",",p
plein,plein,30
de,de,81
dégoûts,dégoût,21
et,et,82
d',de,81
alarmes,alarme,22
",",",",p
défiler,défiler,14
les,le,71
années,année,22
de,de,81
sa,son,73
vie,vie,22
défunte,défunt,30
;,;,p
elles,ils,51
pivotaient,pivoter,18
",",",",p
ruisselaient,ruisseler,18
maintenant,maintenant,60
autour,autour,60
du,de,81
du,le,71
rappel,rappel,21
de,de,81
madame,madame,22
Laure,Laure,20
et,et,82
d',de,81
Auguste,Auguste,20
",",",",p
enfoncé,enfoncé,31
",",",",p
dans,dans,81
ces,ce,74
fluctuations,fluctuation,22
",",",",p
comme,comme,83
un,un,71
pieu,pieu,21
ferme,ferme,30
",",",",p
comme,comme,83
un,un,71
fait,fait,21
net,net,30
/.,/.,P
quelle,quel,75
époque,époque,22
que,que,52
celle-là,celui-là,52
!,!,p
c',ce,52
était,être,18
le,le,71
temps,temps,21
des,de,81
des,le,71
soirées,soirée,22
dans,dans,81
le,le,71
monde,monde,21
",",",",p
des,de,81
des,le,71
courses,course,22
",",",",p
des,de,81
des,le,71
parties,partie,22
de,de,81
cartes,carte,22
",",",",p
des,de,81
des,le,71
amours,amour,21
commandées,commandé,31
à,à,81
l',le,71
avance,avance,22
",",",",p
servies,servi,31
",",",",p
à,à,81
l',le,71
heure,heure,22
",",",",p
sur,sur,81
le,le,71
coup,coup,21
de,de,81
minuit,minuit,21
",",",",p
dans,dans,81
son,son,73
boudoir,boudoir,21
rose,rose,30
/!,/!,P
il,il,51
se,se,51
remémorait,remémorer,18
des,de,81
des,le,71
figures,figure,22
",",",",p
des,de,81
des,le,71
mines,mine,22
",",",",p
des,de,81
des,le,71
mots,mot,21
nuls,nul,52
qui,qui,52
l',le,52
obsédaient,obséder,18
avec,avec,81
cette,ce,74
ténacité,ténacité,22
des,de,81
des,le,71
airs,air,21
vulgaires,vulgaire,30
qu',que,52
on,on,51
ne,ne,60
peut,pouvoir,17
se,se,51
défendre,défendre,14
de,de,81
fredonner,fredonner,14
",",",",p
mais,mais,82
qui,qui,52
finissent,finir,17
par,par,81
s',se,51
épuiser,épuiser,14
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
sans,sans,81
qu',que,83
on,on,51
y,y,52
pense,penser,17
/.,/.,P
cette,ce,74
période,période,22
fut,être,19
de,de,81
courte,court,30
durée,durée,22
;,;,p
il,il,51
eut,avoir,19
une,un,71
sieste,sieste,22
de,de,81
mémoire,mémoire,22
",",",",p
se,se,51
replongea,replonger,19
dans,dans,81
ses,son,73
études,étude,22
latines,latin,30
afin,afin,81
d',de,81
effacer,effacer,14
jusqu',jusque,81
à,à,81
l',le,71
empreinte,empreinte,22
même,même,30
de,de,81
ces,ce,74
retours,retour,21
/.,/.,P
le,le,71
branle,branle,21
était,être,18
donné,donner,12
;,;,p
une,un,71
seconde,second,72
phase,phase,22
succéda,succéder,19
presque,presque,60
immédiatement,immédiatement,60
à,à,81
la,le,71
première,premier,72
",",",",p
celle,celui,52
des,de,81
des,le,71
souvenirs,souvenir,21
de,de,81
son,son,73
enfance,enfance,22
",",",",p
celle,celui,52
surtout,surtout,60
des,de,81
des,le,71
ans,an,21
écoulés,écoulé,31
chez,chez,81
les,le,71
pères,père,21
/.,/.,P
ceux-là,celui-là,52
étaient,être,18
plus,plus,60
éloignés,éloigner,12
et,et,82
plus,plus,60
certains,certain,30
",",",",p
gravés,graver,12
d',de,81
une,un,71
façon,façon,22
plus,plus,60
accusée,accusé,31
et,et,82
plus,plus,60
sûre,sûr,30
;,;,p
le,le,71
parc,parc,21
touffu,touffu,30
",",",",p
les,le,71
longues,long,30
allées,allée,22
",",",",p
les,le,71
plates-bandes,plate-bande,22
",",",",p
les,le,71
bancs,banc,21
",",",",p
tous,tout,75
les,le,71
détails,détail,21
matériels,matériel,30
se,se,51
levèrent,lever,19
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
puis,puis,60
les,le,71
jardins,jardin,21
s',se,51
emplirent,emplir,19
",",",",p
il,il,51
entendit,entendre,19
résonner,résonner,14
les,le,71
cris,cri,21
des,de,81
des,le,71
élèves,élève,21
",",",",p
les,le,71
rires,rire,21
des,de,81
des,le,71
professeurs,professeur,21
se,se,51
mêlant,mêler,13
aux,à,81
aux,le,71
récréations,récréation,22
",",",",p
jouant,jouer,13
à,à,81
la,le,71
paume,paume,22
",",",",p
la,le,71
soutane,soutane,22
retroussée,retroussé,31
",",",",p
serrée,serré,31
entre,entre,81
les,le,71
genoux,genou,21
",",",",p
ou,ou,82
bien,bien,60
causant,causer,13
avec,avec,81
les,le,71
jeunes,jeune,30
gens,gens,21
",",",",p
sans,sans,81
pose,pose,22
ni,ni,82
morgue,morgue,22
",",",",p
ainsi,ainsi,60
que,que,83
des,de,81
des,le,71
camarades,camarade,21
du,de,81
du,le,71
même,même,75
âge,âge,21
",",",",p
sous,sous,81
les,le,71
arbres,arbre,21
/.,/.,P
il,il,51
se,se,51
rappela,rappeler,19
le,le,71
joug,joug,21
paternel,paternel,30
qui,qui,52
s',se,51
accommodait,accommoder,18
mal,mal,60
des,de,81
des,le,71
punitions,punition,22
",",",",p
se,se,51
refusait,refuser,18
à,à,81
infliger,infliger,14
des,de,81
des,le,71
cinq,cinq,72
cents,cent,72
et,et,82
des,de,81
des,le,71
mille,mille,72
vers,vers,21
",",",",p
se,se,51
contentait,contenter,18
de,de,81
faire,faire,14
“,“,p
réparer,réparer,14
“,“,p
",",",",p
tandis que,tandis que,83
les,le,71
autres,autre,52
s',se,51
amusaient,amuser,18
",",",",p
la,le,71
leçon,leçon,22
pas,pas,60
sue,su,31
",",",",p
recourait,recourir,18
plus,plus,60
souvent,souvent,60
encore,encore,60
à,à,81
la,le,71
simple,simple,30
réprimande,réprimande,22
",",",",p
entourait,entourer,18
l',le,71
enfant,enfant,21
d',de,81
une,un,71
surveillance,surveillance,22
active,actif,30
mais,mais,82
douce,doux,30
",",",",p
cherchant,chercher,13
à,à,81
lui,lui,51
être,être,14
agréable,agréable,30
",",",",p
consentant,consentir,13
à,à,81
des,de,81
des,le,71
promenades,promenade,22
où,où,60
bon,bon,60
lui,lui,51
semblait,sembler,18
",",",",p
le,le,71
mercredi,mercredi,21
",",",",p
saisissant,saisir,13
l',le,71
occasion,occasion,22
de,de,81
toutes,tout,75
les,le,71
petites,petit,30
fêtes,fête,22
non,non,60
carillonnées,carillonné,31
de,de,81
l',le,71
Eglise,Eglise,20
",",",",p
pour,pour,81
ajouter,ajouter,14
à,à,81
l',le,71
ordinaire,ordinaire,22
des,de,81
des,le,71
repas,repas,21
des,de,81
des,le,71
gâteaux,gâteau,21
et,et,82
du,de,81
du,le,71
vin,vin,21
",",",",p
pour,pour,81
le,le,52
régaler,régaler,14
de,de,81
parties,partie,22
de,de,81
campagne,campagne,22
;,;,p
un,un,71
joug,joug,21
paternel,paternel,30
qui,qui,52
consistait,consister,18
à,à,81
ne,ne,60
pas,pas,60
abrutir,abrutir,14
l',le,71
élève,élève,21
",",",",p
à,à,81
discuter,discuter,14
avec,avec,81
lui,lui,51
",",",",p
à,à,81
le,le,52
traiter,traiter,14
déjà,déjà,60
en,en,81
homme,homme,21
",",",",p
tout,tout,60
en,en,81
lui,lui,51
conservant,conserver,13
le,le,71
dorlotement,dorlotement,21
d',de,81
un,un,71
bambin,bambin,21
gâté,gâté,31
/.,/.,P
ils,ils,51
arrivaient,arriver,18
ainsi,ainsi,60
à,à,81
prendre,prendre,14
sur,sur,81
l',le,71
enfant,enfant,21
un,un,71
réel,réel,30
ascendant,ascendant,21
",",",",p
à,à,81
pétrir,pétrir,14
",",",",p
dans,dans,81
une,un,71
certaine,certain,75
mesure,mesure,22
",",",",p
les,le,71
intelligences,intelligence,22
qu',que,52
ils,ils,51
cultivaient,cultiver,18
",",",",p
à,à,81
les,le,52
diriger,diriger,14
",",",",p
dans,dans,81
un,un,71
sens,sens,21
",",",",p
à,à,81
les,le,52
greffer,greffer,14
d',de,81
idées,idée,22
spéciales,spécial,30
",",",",p
à,à,81
assurer,assurer,14
la,le,71
croissance,croissance,22
de,de,81
leurs,leur,73
pensées,pensée,22
par,par,81
une,un,71
méthode,méthode,22
insinuante,insinuant,30
et,et,82
pateline,patelin,30
qu',que,52
ils,ils,51
continuaient,continuer,18
",",",",p
en,en,81
s',se,51
efforçant,efforcer,13
de,de,81
les,le,52
suivre,suivre,14
dans,dans,81
la,le,71
vie,vie,22
",",",",p
de,de,81
les,le,52
soutenir,soutenir,14
dans,dans,81
leur,leur,73
carrière,carrière,22
",",",",p
en,en,81
leur,leur,52
adressant,adresser,13
ces,ce,74
lettres,lettre,22
affectueuses,affectueux,30
comme,comme,83
le,le,71
dominicain,dominicain,21
Lacordaire,Lacordaire,20
savait,savoir,18
en,en,52
écrire,écrire,14
à,à,81
ses,son,73
anciens,ancien,30
élèves,élève,21
de,de,81
Sorrèze,Sorrèze,20
/.,/.,P
des,de,81
des,le,71
Esseintes,Esseintes,20
se,se,51
rendait,rendre,18
compte,compte,21
par,par,81
lui-même,lui-même,51
de,de,81
l',le,71
opération,opération,22
qu',que,52
il,il,51
se,se,51
figurait,figurer,18
avoir,avoir,14
sans,sans,81
résultat,résultat,21
subie,subi,31
;,;,p
son,son,73
caractère,caractère,21
rebelle,rebelle,30
aux,à,81
aux,le,71
conseils,conseil,21
pointilleux,pointilleux,30
",",",",p
fureteur,fureteur,21
",",",",p
porté,porté,31
aux,à,81
aux,le,71
controverses,controverse,22
",",",",p
l',le,52
avait,avoir,18
empêché,empêcher,12
d',de,81
être,être,14
modelé,modeler,12
par,par,81
leur,leur,73
discipline,discipline,22
",",",",p
asservi,asservi,31
par,par,81
leurs,leur,73
leçons,leçon,22
;,;,p
une,un,71
fois,fois,22
sorti,sorti,31
du,de,81
du,le,71
collège,collège,21
",",",",p
son,son,73
scepticisme,scepticisme,21
s',se,51
était,être,18
accru,accroître,12
;,;,p
son,son,73
passage,passage,21
au,à,81
au,le,71
travers,travers,21
d',de,81
un,un,71
monde,monde,21
légitimiste,légitimiste,30
",",",",p
intolérant,intolérant,30
et,et,82
borné,borné,31
",",",",p
ses,son,73
conversations,conversation,22
avec,avec,81
d',de,81
inintelligents,inintelligent,30
marguilliers,marguillier,21
et,et,82
de,de,81
bas,bas,30
abbés,abbé,21
dont,dont,52
les,le,71
maladresses,maladresse,22
déchiraient,déchirer,18
le,le,71
voile,voile,21
si,si,60
savamment,savamment,60
tissé,tissé,31
par,par,81
les,le,71
jésuites,jésuite,21
",",",",p
avaient,avoir,18
encore,encore,60
fortifié,fortifier,12
son,son,73
esprit,esprit,21
d',de,81
indépendance,indépendance,22
",",",",p
augmenté,augmenter,12
sa,son,73
défiance,défiance,22
en,en,81
une,un,71
foi,foi,22
quelconque,quelconque,30
/.,/.,P
il,il,51
s',se,51
estimait,estimer,18
",",",",p
en,en,81
somme,somme,22
",",",",p
dégagé,dégagé,31
de,de,81
tout,tout,75
lien,lien,21
",",",",p
de,de,81
toute,tout,75
contrainte,contrainte,22
;,;,p
il,il,51
avait,avoir,18
simplement,simplement,60
gardé,garder,12
",",",",p
contrairement,contrairement,60
à,à,81
tous,tout,75
les,le,71
gens,gens,21
élevés,élevé,31
dans,dans,81
les,le,71
lycées,lycée,21
ou,ou,82
les,le,71
pensions,pension,22
laïques,laïc,30
",",",",p
un,un,71
excellent,excellent,30
souvenir,souvenir,21
de,de,81
son,son,73
collège,collège,21
et,et,82
de,de,81
ses,son,73
maîtres,maître,21
",",",",p
et,et,82
voilà,voilà,81
que,que,83
maintenant,maintenant,60
",",",",p
il,il,51
se,se,51
consultait,consulter,18
",",",",p
en,en,52
arrivait,arriver,18
à,à,81
se,se,51
demander,demander,14
si,si,83
les,le,71
semences,semence,22
tombées,tombé,31
jusqu',jusque,81
à,à,81
ce,ce,74
jour,jour,21
dans,dans,81
un,un,71
sol,sol,21
stérile,stérile,30
",",",",p
ne,ne,60
commençaient,commencer,18
pas,pas,60
à,à,81
poindre,poindre,14
/.,/.,P
en,en,81
effet,effet,21
",",",",p
depuis,depuis,81
quelques,quelque,75
jours,jour,21
",",",",p
il,il,51
se,se,51
trouvait,trouver,18
dans,dans,81
un,un,71
état,état,21
d',de,81
âme,âme,22
indescriptible,indescriptible,30
/.,/.,P
il,il,51
croyait,croire,18
pendant,pendant,81
une,un,71
seconde,seconde,22
",",",",p
allait,aller,18
d',de,81
instinct,instinct,21
à,à,81
la,le,71
religion,religion,22
",",",",p
puis,puis,60
au,à,81
au,le,71
moindre,moindre,30
raisonnement,raisonnement,21
son,son,73
attirance,attirance,22
vers,vers,81
la,le,71
foi,foi,22
s',se,51
évaporait,évaporer,18
;,;,p
mais,mais,82
il,il,51
restait,rester,18
",",",",p
malgré,malgré,81
tout,tout,52
",",",",p
plein,plein,30
de,de,81
trouble,trouble,21
/.,/.,P
il,il,51
savait,savoir,18
pourtant,pourtant,60
bien,bien,60
",",",",p
en,en,81
descendant,descendre,13
en,en,81
lui,lui,51
",",",",p
qu',que,83
il,il,51
n',ne,60
aurait,avoir,16
jamais,jamais,60
l',le,71
esprit,esprit,21
d',de,81
humilité,humilité,22
et,et,82
de,de,81
pénitence,pénitence,22
vraiment,vraiment,60
chrétien,chrétien,30
;,;,p
il,il,51
savait,savoir,18
",",",",p
à,à,81
n',ne,60
en,en,52
pouvoir,pouvoir,14
hésiter,hésiter,14
",",",",p
que,que,83
ce,ce,74
moment,moment,21
dont,dont,52
parle,parler,17
Lacordaire,Lacordaire,20
",",",",p
ce,ce,74
moment,moment,21
de,de,81
la,le,71
grâce,grâce,22
“,“,p
où,où,60
le,le,71
dernier,dernier,30
trait,trait,21
de,de,81
lumière,lumière,22
pénètre,pénétrer,17
dans,dans,81
l',le,71
âme,âme,22
et,et,82
rattache,rattacher,17
à,à,81
un,un,71
centre,centre,21
commun,commun,30
les,le,71
vérités,vérité,22
qui,qui,52
y,y,52
sont,être,17
éparses,épars,30
“,“,p
",",",",p
ne,ne,60
viendrait,venir,16
jamais,jamais,60
pour,pour,81
lui,lui,51
;,;,p
il,il,51
n',ne,60
éprouvait,éprouver,18
pas,pas,60
ce,ce,74
besoin,besoin,21
de,de,81
mortification,mortification,22
et,et,82
de,de,81
prière,prière,22
sans,sans,81
lequel,lequel,52
",",",",p
si,si,83
l',l',94
on,on,51
écoute,écouter,17
la,le,71
majeure,majeur,30
partie,partie,22
des,de,81
des,le,71
prêtres,prêtre,21
",",",",p
aucune,aucun,75
conversion,conversion,22
n',ne,60
est,être,17
possible,possible,30
;,;,p
il,il,51
ne,ne,60
ressentait,ressentir,18
aucun,aucun,75
désir,désir,21
d',de,81
implorer,implorer,14
un,un,71
dieu,dieu,21
dont,dont,52
la,le,71
miséricorde,miséricorde,22
lui,lui,51
semblait,sembler,18
des,de,81
des,le,71
moins,moins,60
probables,probable,30
;,;,p
et,et,82
cependant,cependant,82
la,le,71
sympathie,sympathie,22
qu',que,52
il,il,51
conservait,conserver,18
pour,pour,81
ses,son,73
anciens,ancien,30
maîtres,maître,21
arrivait,arriver,18
à,à,81
le,le,52
faire,faire,14
s',se,51
intéresser,intéresser,14
à,à,81
leurs,leur,73
travaux,travail,21
",",",",p
à,à,81
leurs,leur,73
doctrines,doctrine,22
;,;,p
ces,ce,74
accents,accent,21
inimitables,inimitable,30
de,de,81
la,le,71
conviction,conviction,22
",",",",p
ces,ce,74
voix,voix,22
ardentes,ardent,30
d',de,81
hommes,homme,21
d',de,81
une,un,71
intelligence,intelligence,22
supérieure,supérieur,30
lui,lui,51
revenaient,revenir,18
",",",",p
l',le,52
amenaient,amener,18
à,à,81
douter,douter,14
de,de,81
son,son,73
esprit,esprit,21
et,et,82
de,de,81
ses,son,73
forces,force,22
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
cette,ce,74
solitude,solitude,22
où,où,60
il,il,51
vivait,vivre,18
",",",",p
sans,sans,81
nouvel,nouveau,30
aliment,aliment,21
",",",",p
sans,sans,81
impressions,impression,22
fraîchement,fraîchement,60
subies,subi,31
",",",",p
sans,sans,81
renouvellement,renouvellement,21
de,de,81
pensées,pensée,22
",",",",p
sans,sans,81
cet,ce,74
échange,échange,21
de,de,81
sensations,sensation,22
venues,venu,31
du,de,81
du,le,71
dehors,dehors,21
",",",",p
de,de,81
la,le,71
fréquentation,fréquentation,22
du,de,81
du,le,71
monde,monde,21
",",",",p
de,de,81
l',le,71
existence,existence,22
menée,mené,31
en,en,81
commun,commun,21
;,;,p
dans,dans,81
ce,ce,74
confinement,confinement,21
contre,contre,81
nature,nature,22
où,où,60
il,il,51
s',se,51
entêtait,entêter,18
",",",",p
toutes,tout,75
les,le,71
questions,question,22
",",",",p
oubliées,oublié,31
pendant,pendant,81
son,son,73
séjour,séjour,21
à,à,81
Paris,Paris,20
",",",",p
se,se,51
posaient,poser,18
à,à,81
nouveau,nouveau,21
",",",",p
comme,comme,83
d',de,81
irritants,irritant,30
problèmes,problème,21
/.,/.,P
la,le,71
lecture,lecture,22
des,de,81
des,le,71
ouvrages,ouvrage,21
latins,latin,30
qu',que,52
il,il,51
aimait,aimer,18
",",",",p
d',de,81
ouvrages,ouvrage,21
presque,presque,60
tous,tout,52
rédigés,rédigé,31
par,par,81
des,de,81
des,le,71
évêques,évêque,21
et,et,82
par,par,81
des,de,81
des,le,71
moines,moine,21
",",",",p
avait,avoir,18
sans,sans,81
doute,doute,21
contribué,contribuer,12
à,à,81
déterminer,déterminer,14
cette,ce,74
crise,crise,22
/.,/.,P
enveloppé,enveloppé,31
dans,dans,81
une,un,71
atmosphère,atmosphère,22
de,de,81
couvent,couvent,21
",",",",p
dans,dans,81
un,un,71
parfum,parfum,21
d',de,81
encens,encens,21
qui,qui,52
lui,lui,51
grisaient,griser,18
la,le,71
tête,tête,22
",",",",p
il,il,51
s',se,51
était,être,18
exalté,exalter,12
les,le,71
nerfs,nerf,21
et,et,82
par,par,81
une,un,71
association,association,22
d',de,81
idées,idée,22
",",",",p
ces,ce,74
livres,livre,21
avaient,avoir,18
fini,finir,12
par,par,81
refouler,refouler,14
les,le,71
souvenirs,souvenir,21
de,de,81
sa,son,73
vie,vie,22
de,de,81
jeune,jeune,30
homme,homme,21
",",",",p
par,par,81
remettre,remettre,14
en,en,81
lumière,lumière,22
ceux,celui,52
de,de,81
sa,son,73
jeunesse,jeunesse,22
",",",",p
chez,chez,81
les,le,71
pères,père,21
/.,/.,P
-,-,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
à,à,81
dire,dire,14
",",",",p
pensait,penser,18
des,de,81
des,le,71
Esseintes,Esseintes,20
s',se,51
essayant,essayer,13
à,à,81
se,se,51
raisonner,raisonner,14
",",",",p
à,à,81
suivre,suivre,14
la,le,71
marche,marche,22
de,de,81
cette,ce,74
ingestion,ingestion,22
de,de,81
l',le,71
élément,élément,21
jésuite,jésuite,21
",",",",p
à,à,81
Fontenay,Fontenay,20
;,;,p
j',je,51
ai,avoir,17
",",",",p
depuis,depuis,81
mon,mon,73
enfance,enfance,22
",",",",p
et,et,82
sans,sans,81
que,que,83
je,je,51
l',le,52
aie,avoir,17
jamais,jamais,60
su,savoir,12
",",",",p
ce,ce,74
levain,levain,21
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
encore,encore,60
fermenté,fermenter,12
;,;,p
ce,ce,74
penchant,penchant,21
même,même,30
que,que,52
j',je,51
ai,avoir,17
toujours,toujours,60
eu,avoir,12
pour,pour,81
les,le,71
objets,objet,21
religieux,religieux,30
en,en,52
est,être,17
peut-être,peut-être,60
une,un,71
preuve,preuve,22
/.,/.,P
mais,mais,82
il,il,51
cherchait,chercher,18
à,à,81
se,se,51
persuader,persuader,14
le,le,71
contraire,contraire,21
",",",",p
mécontent,mécontent,30
de,de,81
ne,ne,60
plus,plus,60
être,être,14
maître,maître,21
absolu,absolu,30
chez,chez,81
lui,lui,51
;,;,p
il,il,51
se,se,51
procura,procurer,19
des,de,81
des,le,71
motifs,motif,21
;,;,p
il,il,51
avait,avoir,18
dû,devoir,12
forcément,forcément,60
se,se,51
tourner,tourner,14
du,de,81
du,le,71
côté,côté,21
du,de,81
du,le,71
sacerdoce,sacerdoce,21
",",",",p
puisque,puisque,83
l',le,71
Eglise,Eglise,20
a,avoir,17
",",",",p
seule,seul,30
",",",",p
recueilli,recueillir,12
l',le,71
art,art,21
",",",",p
la,le,71
forme,forme,22
perdue,perdu,31
des,de,81
des,le,71
siècles,siècle,21
;,;,p
elle,il,51
a,avoir,17
immobilisé,immobiliser,12
",",",",p
jusque,jusque,81
dans,dans,81
la,le,71
vile,vil,30
reproduction,reproduction,22
moderne,moderne,30
",",",",p
le,le,71
contour,contour,21
des,de,81
des,le,71
orfèvreries,orfèvrerie,22
",",",",p
gardé,garder,12
le,le,71
charme,charme,21
des,de,81
des,le,71
calices,calice,21
élancés,élancé,31
comme,comme,83
des,de,81
des,le,71
pétunias,pétunia,21
",",",",p
des,de,81
des,le,71
ciboires,ciboire,21
